Id,Malay (Beka),English,Hex
1,Hitam,Black,#000000
2,Putih,White,#ffffff
3,Kelabu,Grey,#808080
4,Merah,Red,#ff0000
5,Kuning,Yellow,#ffff00
6,Biru,Blue,#0000ff
7,Hijau,Green,#00ff00
8,Jingga,Orange,#ffa500
9,Ungu,Purple,#800080
10,Perang,Brown,#a52a2a
11,Kalas,Shocking pink,#fc0fc0
12,Kayas,Blush,#de5d83
13,Samor,Pink,#ffc0cb
14,Lembayung,Violet,#ee82ee
15,Layung,Amber,#ffbf00
16,Tarum,Indigo,#4b0082
17,Wai,Cyan,#00ffff
18,Setor,Magenta / Fuchsia,#ff00ff
19,Berangan,Maroon,#800000
20,Sawo,Tawny,#cd5700
21,Kapuk,Beige,#f5f5dc
22,Gading,Ivory,#fffff0
23,Lepak,Snow,#fffafa
24,Langking,Ebony,#555d50
25,Hirang,Oxford blue,#002147
26,Biru laut,Navy blue,#000080
27,Merak,Turquoise,#40e0d0
28,Wilis,Teal,#008080
29,Langit,Azure,#007fff
30,Mawar,Rose,#ff007f
31,Serindit,Chartreuse (Pigment),#7fff00
32,Pucuk,Chartreuse (Visual),#7fff00
33,Pandan,Spring green,#00ff7f
34,Jernang,Vermilion,#e34234
35,Luruh,Russet,#80461b
36,Sukade,Citron,#ddd06a
37,Sabak,Slate grey,#708090
38,Merah darah,Blood,#660000
39,Merang,Scarlet,#ff2400
40,Saga,Crimson,#dc143c
41,Pauh,Mango tango,#ff8243
42,Langsat,Cream,#fffdd0
43,Lebam,Prussian blue,#003153
44,Lumut,Moss green,#addfad
45,Bemban,Forest green,#228b22
46,Pinang,Peach,#ffe5b4
47,Lesi,Ghost white,#f8f8ff
48,Tahi lembu,Olive,#808000
49,Kelembak,Mahogany,#c04000
50,Emas,Gold,#ffd700
51,Perak,Silver,#c0c0c0
52,Bulan,Moonstone,#73a9c2
53,Emas putih,Platinum,#e5e4e2
54,Kumbang,n/a,n/a
55,Laka,n/a,n/a
56,Tal,n/a,n/a
57,Tampung,n/a,n/a
58,Arau,n/a,n/a
59,Kijang,n/a,n/a
60,Lipan tanah,n/a,n/a
61,Kubing,n/a,n/a
62,Sela,n/a,n/a
63,Kabul,n/a,n/a
